model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-5,11,"(64, 32, 16, 8)",0.1,0.0005,1e-05,0.5088561595531932,0.6863360703536032
(128-64)_0.4,adam_lr5e-4_wd0,7,"(128, 64)",0.4,0.0005,0.0,0.5090240261010957,0.6970518881707292
(64-32-16)_0.2,adam_lr5e-4_wd1e-3,11,"(64, 32, 16)",0.2,0.0005,0.001,0.5093909533400285,0.7084701535623291
(32-16)_0.1,adam_lr1e-3_wd1e-3,11,"(32, 16)",0.1,0.001,0.001,0.5096661866756907,0.705428998298209
(32-16)_0.1,adam_lr1e-3_wd1e-4,7,"(32, 16)",0.1,0.001,0.0001,0.5105894783086944,0.7167990163972898
(64-32-16)_0.4,adam_lr2e-3_wd1e-3,7,"(64, 32, 16)",0.4,0.002,0.001,0.5106456572549385,0.7535998366901311
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-4,11,"(64, 32, 16, 8)",0.1,0.0005,0.0001,0.5142866373062134,0.7130578900537582
(32-16)_0.0,adam_lr5e-4_wd1e-5,7,"(32, 16)",0.0,0.0005,1e-05,0.5143227639951204,0.7141304123907317
(64-32-16)_0.4,adam_lr2e-3_wd1e-4,7,"(64, 32, 16)",0.4,0.002,0.0001,0.5148307085037231,0.7593516154569747
(64-32)_0.4,adam_lr1e-3_wd1e-3,11,"(64, 32)",0.4,0.001,0.001,0.5152178709967095,0.7203842070549283
(128-64)_0.4,adam_lr5e-4_wd1e-3,11,"(128, 64)",0.4,0.0005,0.001,0.5152952535110608,0.6909229168089835
(64-32)_0.2,adam_lr5e-4_wd1e-4,11,"(64, 32)",0.2,0.0005,0.0001,0.5155914038942572,0.713760430252454
(64-32)_0.2,adam_lr5e-4_wd1e-5,7,"(64, 32)",0.2,0.0005,1e-05,0.5155981590873316,0.7210387736405507
(32-16)_0.2,adam_lr1e-3_wd0,7,"(32, 16)",0.2,0.001,0.0,0.519782400967782,0.7110006695280421
(64-32-16)_0.2,adam_lr1e-3_wd1e-5,7,"(64, 32, 16)",0.2,0.001,1e-05,0.520592258687605,0.6909509395129231
(64-32-16)_0.1,adam_lr5e-4_wd1e-4,11,"(64, 32, 16)",0.1,0.0005,0.0001,0.5209183682475174,0.6954410935362133
(64-32-16)_0.1,adam_lr5e-4_wd1e-3,11,"(64, 32, 16)",0.1,0.0005,0.001,0.5210538454223097,0.6741038719122366
(32-16)_0.1,adam_lr1e-3_wd1e-5,7,"(32, 16)",0.1,0.001,1e-05,0.5234031928213019,0.7058641894636102
(64-32)_0.2,adam_lr5e-4_wd1e-4,7,"(64, 32)",0.2,0.0005,0.0001,0.5248436216722455,0.705755169248316
(64-32-16)_0.4,adam_lr1e-3_wd1e-5,11,"(64, 32, 16)",0.4,0.001,1e-05,0.526376630130567,0.7405721646632374
(64-32)_0.2,adam_lr5e-4_wd0,7,"(64, 32)",0.2,0.0005,0.0,0.5309364523803979,0.7040078404476712
(64-32-16)_0.1,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.1,0.0005,0.0,0.5311664761158458,0.7017188118872218
(64-32-16)_0.2,adam_lr5e-4_wd0,11,"(64, 32, 16)",0.2,0.0005,0.0,0.5320387189848381,0.7430420177348896
(64-32-16)_0.2,adam_lr1e-3_wd1e-3,7,"(64, 32, 16)",0.2,0.001,0.001,0.5339885876889814,0.7081596209472982
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-3,7,"(64, 32, 16, 8)",0.2,0.001,0.001,0.5359047348039192,0.7338718539814342
(32-16)_0.1,adam_lr5e-4_wd0,11,"(32, 16)",0.1,0.0005,0.0,0.5372598422201056,0.7438155308106676
(64-32-16)_0.4,adam_lr1e-3_wd1e-5,7,"(64, 32, 16)",0.4,0.001,1e-05,0.5378369417106896,0.7455657775503431
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-5,11,"(64, 32, 16, 8)",0.2,0.001,1e-05,0.538790480086678,0.7348470726798909
(64-32-16)_0.4,adam_lr2e-3_wd0,7,"(64, 32, 16)",0.4,0.002,0.0,0.5388758600803844,0.7275258497914572
(64-32)_0.4,adam_lr5e-4_wd0,7,"(64, 32)",0.4,0.0005,0.0,0.5389015089001572,0.745291847775284
(32-16)_0.0,adam_lr5e-4_wd1e-3,7,"(32, 16)",0.0,0.0005,0.001,0.5390084197646693,0.7087916209160898
(64-32-16-8)_0.2,adam_lr1e-3_wd0,11,"(64, 32, 16, 8)",0.2,0.001,0.0,0.5392782353518302,0.7037383352107306
(32-16)_0.2,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.2,0.001,0.001,0.5399772148383292,0.7255739600240875
(32-16)_0.1,adam_lr5e-4_wd1e-5,11,"(32, 16)",0.1,0.0005,1e-05,0.5406391003675628,0.7496281973824844
(64-32-16)_0.4,adam_lr1e-3_wd1e-4,11,"(64, 32, 16)",0.4,0.001,0.0001,0.5418413783374586,0.7788586394727857
(64-32)_0.4,adam_lr1e-3_wd1e-3,7,"(64, 32)",0.4,0.001,0.001,0.5419884648239404,0.7197052483088796
(32-16)_0.0,adam_lr5e-4_wd0,7,"(32, 16)",0.0,0.0005,0.0,0.5429988587111757,0.7238690454960252
(64-32-16)_0.2,adam_lr5e-4_wd1e-3,7,"(64, 32, 16)",0.2,0.0005,0.001,0.5434935166124713,0.7296316455943297
(64-32-16)_0.2,adam_lr5e-4_wd1e-4,7,"(64, 32, 16)",0.2,0.0005,0.0001,0.5437736051124439,0.7313669103458638
(64-32-16)_0.2,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.2,0.0005,0.0,0.5445708768409595,0.7136681026510553
(128-64)_0.4,adam_lr5e-4_wd1e-5,7,"(128, 64)",0.4,0.0005,1e-05,0.5446428186015079,0.7064307641620486
